"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",3,4,1,9
"GM",30912,719931,630,11726
"Tolerant",719458,140050,1748,14530
"Vulnerable",132,799,3068,2802
"Unclassified",8514,9040,1508,80375
