"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",6241,4492,26422,12390
"GM",10566,27520,13296,9466
"Tolerant",35627,14802,97705,37357
"Vulnerable",445,310,718,3319
"Unclassified",12449,9255,25017,60245
