"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",310008,31328,187442,85916
"GM",14754,30182,92089,4790
"Tolerant",170932,88223,44692,84990
"Vulnerable",1,0,0,3
"Unclassified",87620,11344,67811,141645
