"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,1
"GM",2277,3178,154,1069
"Tolerant",2733,112,20,435
"Vulnerable",50,2,4,69
"Unclassified",3134,781,5491,77885
