"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",6932,267,8202,3943,566
"GM",6,66,58,138,0
"Tolerant",13030,46,3104,6971,1519
"Vulnerable",6005,474,3963,292213,11002
"Unclassified",5209,19,749,36447,295821
