"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1598,1379,1997,238
"Tolerant",3670,1367,3298,448
"Vulnerable",1978,993,217060,33912
"Unclassified",106,425,39305,400382
