"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",205,0,74,1209
"GM",0,0,0,2
"Tolerant",22,0,55,1546
"Vulnerable",2,0,6,131
"Unclassified",860,1,1362,768
