"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,0,3
"GM",4,76651,46902,573,12578
"Tolerant",4,47817,2514,514,4032
"Vulnerable",0,16,1,49,17
"Unclassified",64,41087,10762,138353,314296
