"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",8,1,1,18,72
"GM",0,4,120,45,56
"Tolerant",7,47,1884,610,2153
"Vulnerable",14,45,1052,51614,33382
"Unclassified",111,50,1338,47987,99159
