"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",64946,24731,5616,30,9849
"GM",20086,562597,244362,561,12103
"Tolerant",9667,234329,55522,196,5517
"Vulnerable",11,83,19,1,77
"Unclassified",8762,15845,3684,67,44914
