"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",9,59,156,67,426
"GM",35,7140,54514,2150,8173
"Tolerant",61,52129,42138,2717,8081
"Vulnerable",69,1639,5633,26656,56787
"Unclassified",64,2353,6738,10370,27222
