"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",14,9,0,1
"GM",33512,574270,1219,1282
"Tolerant",595810,155755,2522,1685
"Vulnerable",1826,2358,4205,727
"Unclassified",1458,1537,295,75822
