"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",46,1429,129,185,44
"GM",3959,137596,21798,17001,6934
"Tolerant",314,25339,6404,8546,317
"Vulnerable",373,22690,5532,35898,3311
"Unclassified",818,13411,5753,19031,180530
