"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,2,1,2,6
"GM",5,118407,366572,1878,14420
"Tolerant",1,430593,96611,1621,18161
"Vulnerable",0,889,1069,2416,302
"Unclassified",17,60811,62336,87951,47109
