"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",2367,2842,373,2764
"Tolerant",3912,14274,2992,3093
"Vulnerable",823,3030,8318,4361
"Unclassified",3873,5801,2676,78615
