"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1,1,0,0
"GM",10749,326234,1308,16086
"Tolerant",349699,109686,4150,25764
"Vulnerable",1868,5956,35733,14113
"Unclassified",19270,27467,18270,156710
