"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",314,1210,82,23
"GM",13459,292345,2074,948
"Tolerant",288498,178812,2948,998
"Vulnerable",2065,4291,7425,74
"Unclassified",1302,2903,480,85365
