"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",784,1919,399,1273,3198
"GM",1704,56560,9449,11898,5129
"Tolerant",633,7466,7531,4214,2296
"Vulnerable",1463,19508,5083,14831,11539
"Unclassified",6696,11120,4293,17836,100866
