"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",2,1,5,0
"GM",1,0,0,6
"Tolerant",0,6,18,25
"Vulnerable",4,18,3681,2652
"Unclassified",71,4,5346,15103
