"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,1,0,4
"GM",656,1028,1,637
"Tolerant",954,1085,0,1485
"Vulnerable",0,0,2,121
"Unclassified",1870,1639,171,35514
