"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",15820,10789,11819,5674
"Tolerant",25401,21208,60894,231
"Vulnerable",9146,55976,204841,13909
"Unclassified",2705,388,23240,121667
