"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",4,13,8,552
"GM",2140,4160,98,7544
"Tolerant",5577,1385,184,4909
"Vulnerable",112,120,700,8461
"Unclassified",1878,1222,3868,63352
