"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,48,10,9,48
"GM",12,75168,1181843,637,20862
"Tolerant",13,1193673,289374,273,17025
"Vulnerable",1,293,743,2161,4152
"Unclassified",16,15891,21765,2184,145231
