"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",0,0,1,13
"GM",0,588,903,4241
"Tolerant",0,252,190,2670
"Vulnerable",2,454,392,60632
"Unclassified",1,204,373,14138
