"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",91551,154,168,928,95757
"GM",6,0,0,0,623
"Tolerant",2639,435,1155,615,6203
"Vulnerable",1118,1025,255,14301,7058
"Unclassified",38714,2136,467,3631,84936
