"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,0,1
"GM",0,1,0,1,165
"Tolerant",0,126,950,0,1727
"Vulnerable",0,0,15,166,470
"Unclassified",8,40,768,418,196735
