"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",3,1,0,10
"GM",20682,424801,1006,27021
"Tolerant",406782,208369,4710,34322
"Vulnerable",2295,5571,21143,40558
"Unclassified",12415,15169,4841,91396
