"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,1,0,9
"GM",12935,5631,522,2132
"Tolerant",7897,2500,761,2469
"Vulnerable",1424,730,25519,29271
"Unclassified",3155,2038,42413,56556
