"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",2327,199436,458,1689
"Tolerant",212730,193128,7537,9428
"Vulnerable",2171,5063,2522,6460
"Unclassified",7893,23340,3077,215044
