"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",4672,177,77,1835,2703
"GM",1095,326,25,1202,98
"Tolerant",534,12,86,503,1521
"Vulnerable",15836,1860,1719,39654,18954
"Unclassified",41185,172,1276,21012,329755
