"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",4041,95,1480,5885,2956
"GM",49,6,475,301,88
"Tolerant",644,206,2377,3768,2178
"Vulnerable",5418,106,6121,82049,21536
"Unclassified",2645,84,2791,15533,21294
