"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",28310,3,264563,3325,611
"GM",15,18,697,9,0
"Tolerant",328477,700,178155,10240,1180
"Vulnerable",5579,9,10576,5933,1667
"Unclassified",7815,34,11602,1074,48845
