"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1,2,0,2
"GM",30260,658620,3742,13250
"Tolerant",588820,216049,3683,17078
"Vulnerable",924,7771,15059,9826
"Unclassified",7986,15597,3919,88127
