"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",6616,60705,3623,62764
"Tolerant",50386,86179,8733,59879
"Vulnerable",1534,6899,117000,206125
"Unclassified",7940,14599,80539,395320
