"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,23,19,137
"GM",8,6879,58908,2041,10906
"Tolerant",54,58997,136319,14111,62593
"Vulnerable",47,998,21503,72337,80810
"Unclassified",404,8648,55559,53337,253463
