"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",28,5,40,78
"GM",5341,1323,227,1796
"Tolerant",2418,722,54,203
"Vulnerable",485,37,9827,6193
"Unclassified",2047,366,18751,40825
