"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",458,144,327,1773
"GM",331,1667,925,1890
"Tolerant",300,678,700,1460
"Vulnerable",0,0,1,96
"Unclassified",2401,3456,3936,58772
