"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",5353,731,1738,324
"Tolerant",7207,5941,36212,1436
"Vulnerable",16130,12348,154342,1058
"Unclassified",3471,960,5955,171463
