"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",748,311,87,550
"GM",54290,141540,2854,19514
"Tolerant",114565,20716,1816,14907
"Vulnerable",4725,3094,19324,42290
"Unclassified",16680,12580,22854,67124
