"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",9457,10512,2756,63
"Tolerant",6311,1240,1242,2338
"Vulnerable",3264,883,143284,4057
"Unclassified",820,643,60041,315300
