"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,1,0,0
"GM",4020,5982,1235,2189
"Tolerant",5667,1779,711,1680
"Vulnerable",427,562,15733,43524
"Unclassified",3004,2455,39279,116229
