"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,1,0,3
"GM",31012,709922,2227,12860
"Tolerant",684852,248727,3758,14706
"Vulnerable",808,3887,1094,996
"Unclassified",16951,24981,3948,38767
