"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",5327,1631,46450,17,3305
"GM",51207,163225,104068,27,2281
"Tolerant",55057,173775,758865,119,4213
"Vulnerable",35,84,221,1086,447
"Unclassified",1853,7099,16940,830,196789
