"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",64,16,20,68,251
"GM",12,16,26,9,110
"Tolerant",134,450,258,145,492
"Vulnerable",31,66,27,1084,1431
"Unclassified",676,311,220,3624,48500
