"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,11,370,588
"GM",0,21,13,69
"Tolerant",2,1451,2863,1285
"Vulnerable",20,697,47873,28833
"Unclassified",46,366,11427,67218
