"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",18856,47122,4413,2618
"Tolerant",61227,423828,144970,2884
"Vulnerable",3690,137913,255995,3908
"Unclassified",4823,11227,18497,184999
