"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",485,9,1765,2383,575
"GM",2,0,3,7,0
"Tolerant",1011,68,55471,29919,900
"Vulnerable",1456,37,37404,266700,9822
"Unclassified",585,0,1575,29617,128634
