"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",2,37,7,0
"GM",11600,438024,338,673
"Tolerant",391122,210724,819,1024
"Vulnerable",160,1678,1089,99
"Unclassified",662,2214,440,48203
