"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,25,49,4,231
"GM",18,26959,313206,8991,19473
"Tolerant",15,341653,146364,27532,27166
"Vulnerable",7,3767,32941,20965,20008
"Unclassified",68,28964,43680,13027,254238
