"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"GM",0,40673,144739,3012,6545
"Tolerant",1,175899,43291,2880,9146
"Vulnerable",0,619,318,326,149
"Unclassified",0,7039,8790,24433,52215
