"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"GM",0,52679,239053,629,17572
"Tolerant",0,211977,40782,195,20575
"Vulnerable",0,232,58,2,46
"Unclassified",2,54743,54593,136,261981
