"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",536,308,47,575
"GM",87391,256823,2637,36666
"Tolerant",181161,38885,1437,24371
"Vulnerable",4431,3168,5116,35503
"Unclassified",38547,23840,18541,195272
