"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",15,11,154,52,99
"GM",236,7371,127822,5114,635
"Tolerant",848,116342,189395,9619,3042
"Vulnerable",54,1791,9821,47845,24392
"Unclassified",217,5306,19213,10148,75005
