"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",2751,60,9175,3658
"GM",186,32,216,206
"Tolerant",7388,126,27590,3619
"Vulnerable",3,0,3,66
"Unclassified",2494,137,6518,10702
