"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1012,243,1771,1897
"GM",0,0,1,3
"Tolerant",54,879,1074,1704
"Vulnerable",2022,722,15212,6301
"Unclassified",3991,2471,32934,32955
