"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",215,537,1317,2146
"Tolerant",1263,33619,14646,16952
"Vulnerable",354,8659,167670,103667
"Unclassified",7440,13180,93092,178836
