"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",102,22,5,13,301
"GM",80612,71134,105984,1570,14407
"Tolerant",58992,93789,6553,1299,6115
"Vulnerable",1855,1171,977,53439,38111
"Unclassified",9499,8911,3307,39856,207054
