"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,10
"GM",37215,132869,72,9873
"Tolerant",138595,42323,113,12682
"Vulnerable",2334,1726,43,19433
"Unclassified",20022,13772,62,138096
