"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",0,7,1,53
"GM",1,8788,3512,751
"Tolerant",0,3452,556,156
"Vulnerable",0,0,0,3
"Unclassified",17,1155,183,31599
