"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",0,3,1,40
"GM",5,6300,4191,1437
"Tolerant",0,3688,117,683
"Vulnerable",1,51,29,1655
"Unclassified",20,1776,801,29436
