"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",0,13,0,34
"GM",0,5229,4179,899
"Tolerant",0,2009,464,2800
"Vulnerable",0,0,0,5
"Unclassified",78,2665,896,30963
