"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",5,1107,517,3790
"GM",33,10035,34944,22269
"Tolerant",15,24284,2659,17469
"Vulnerable",2,246,325,31988
"Unclassified",78,2287,2969,157402
