"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",81,646,604,681,120
"GM",518,4364,9443,2699,293
"Tolerant",963,14617,30889,7648,2100
"Vulnerable",462,3226,8486,58268,2947
"Unclassified",270,1945,4299,63703,123611
