"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",59,280,2,0
"GM",53572,728393,3082,1285
"Tolerant",706835,202323,4047,1462
"Vulnerable",3006,6200,16203,7445
"Unclassified",3694,3696,4015,67486
